sample,pulse1,pulse2,triangle,noise,dmc,mixed
122644,0,0.6,0.8,0,0.992126,0.424825
122645,0,0.6,0.8,1,0.992126,0.523625
122646,0,0.6,0.8,1,0.992126,0.523625
122647,0,0.6,0.8,0,0.992126,0.424825
122648,0,0.6,0.8,1,0.992126,0.523625
122649,0,0.6,0.8,0,0.992126,0.424825
122650,0,0.6,0.8,1,0.992126,0.523625
122651,0,0.6,0.8,1,0.992126,0.523625
122652,0,0.6,0.8,0,0.992126,0.424825
122653,0,0.6,0.8,0,0.992126,0.424825
122654,0,0.6,0.8,0,0.992126,0.424825
122655,0,0.6,0.8,1,0.992126,0.523625
122656,0,0.6,0.8,0,0.992126,0.424825
122657,0,0.6,0.8,0,0.992126,0.424825
122658,0,0.6,0.8,1,0.992126,0.523625
122659,0,0.6,0.8,0,0.992126,0.424825
122660,0,0.6,0.8,0,0.992126,0.424825
122661,0,0.6,0.8,1,0.992126,0.523625
122662,0,0.6,0.866667,0,0.992126,0.436172
122663,0,0.6,0.866667,1,0.992126,0.534972
122664,0,0.6,0.866667,0,0.992126,0.436172
122665,0,0.6,0.866667,1,0.992126,0.534972
122666,0,0.6,0.866667,1,0.992126,0.534972
122667,0,0.6,0.866667,0,0.992126,0.436172
122668,0,0.6,0.866667,0,0.992126,0.436172
122669,0,0.6,0.866667,1,0.992126,0.534972
122670,0,0.6,0.866667,0,0.992126,0.436172
122671,0,0.6,0.866667,0,0.992126,0.436172
122672,0,0.6,0.866667,1,0.992126,0.534972
122673,0,0.6,0.866667,0,0.992126,0.436172
122674,0,0.6,0.866667,0,0.992126,0.436172
122675,0,0.6,0.866667,0,0.992126,0.436172
122676,0,0.6,0.866667,0,0.992126,0.436172
122677,0,0.6,0.866667,0,0.992126,0.436172
122678,0,0.6,0.866667,1,0.992126,0.534972
122679,0,0.6,0.866667,0,0.992126,0.436172
122680,0,0.6,0.866667,1,0.992126,0.534972
122681,0,0.6,0.866667,0,0.992126,0.436172
122682,0,0.6,0.866667,0,0.992126,0.436172
122683,0,0.6,0.866667,0,0.992126,0.436172
122684,0,0.6,0.866667,1,0.992126,0.534972
122685,0,0.6,0.866667,0,0.992126,0.436172
122686,0,0.6,0.933333,1,0.992126,0.546319
122687,0,0.6,0.933333,1,0.992126,0.546319
122688,0,0.6,0.933333,1,0.992126,0.546319
122689,0,0.6,0.933333,0,0.992126,0.447519
122690,0,0.6,0.933333,1,0.992126,0.546319
122691,0,0.6,0.933333,0,0.992126,0.447519
122692,0,0.6,0.933333,0,0.992126,0.447519
122693,0,0.6,0.933333,0,0.992126,0.447519
122694,0,0.6,0.933333,0,0.992126,0.447519
122695,0,0.6,0.933333,0,0.992126,0.447519
122696,0,0.6,0.933333,0,0.992126,0.447519
122697,0,0.6,0.933333,0,0.992126,0.447519
122698,0,0.6,0.933333,0,0.992126,0.447519
122699,0,0.6,0.933333,1,0.992126,0.546319
122700,0,0.6,0.933333,1,0.992126,0.546319
122701,0,0.6,0.933333,0,0.992126,0.447519
122702,0,0.6,0.933333,0,0.992126,0.447519
122703,0,0.6,0.933333,0,0.992126,0.447519
122704,0,0.6,0.933333,1,0.992126,0.546319
122705,0,0.6,0.933333,0,0.992126,0.447519
122706,0,0.6,0.933333,0,0.992126,0.447519
122707,0,0,0.933333,1,0.992126,0.456078
122708,0,0,0.933333,1,0.992126,0.456078
122709,0,0,0.933333,1,0.992126,0.456078
122710,0,0,1,1,0.992126,0.467425
122711,0,0,1,1,0.992126,0.467425
122712,0,0,1,1,0.992126,0.467425
122713,0,0,1,0,0.992126,0.368625
122714,0,0,1,1,0.992126,0.467425
122715,0,0,1,1,0.992126,0.467425
122716,0,0,1,1,0.992126,0.467425
122717,0,0,1,0,0.992126,0.368625
122718,0,0,1,1,0.992126,0.467425
122719,0,0,1,0,0.992126,0.368625
122720,0,0,1,1,0.992126,0.467425
122721,0,0,1,1,0.992126,0.467425
122722,0,0,1,0,0.992126,0.368625
122723,0,0,1,0,0.992126,0.368625
122724,0,0,1,1,0.992126,0.467425
122725,0,0,1,0,0.992126,0.368625
122726,0,0,1,0,0.992126,0.368625
122727,0,0,1,1,0.992126,0.467425
122728,0,0,1,0,0.992126,0.368625
122729,0,0,1,0,0.992126,0.368625
122730,0,0,1,0,0.992126,0.368625
122731,0,0,1,0,0.992126,0.368625
122732,0,0,1,0,0.992126,0.368625
122733,0,0,1,1,0.992126,0.467425
122734,0,0,1,0,0.992126,0.368625
122735,0,0,1,1,0.992126,0.467425
122736,0,0,1,0,0.992126,0.368625
122737,0,0,1,0,0.992126,0.368625
122738,0,0,1,1,0.992126,0.467425
122739,0,0,1,0,0.992126,0.368625
122740,0,0,1,1,0.992126,0.467425
122741,0,0,1,1,0.992126,0.467425
122742,0,0,1,1,0.992126,0.467425
122743,0,0,1,1,0.992126,0.467425
122744,0,0,1,0,0.992126,0.368625
122745,0,0,1,1,0.992126,0.467425
122746,0,0,1,0,0.992126,0.368625
122747,0,0,1,0,0.992126,0.368625
122748,0,0,1,0,0.992126,0.368625
122749,0,0,1,1,0.992126,0.467425
122750,0,0,1,0,0.992126,0.368625
122751,0,0,1,1,0.992126,0.467425
122752,0,0,1,0,0.992126,0.368625
122753,0,0,1,1,0.992126,0.467425
122754,0,0,1,1,0.992126,0.467425
122755,0,0,1,1,0.992126,0.467425
122756,0,0,1,0,0.992126,0.368625
122757,0,0,1,0,0.992126,0.368625
122758,0,0,0.933333,0,0.992126,0.357279
122759,0,0,0.933333,1,0.992126,0.456078
122760,0,0,0.933333,1,0.992126,0.456078
122761,0,0,0.933333,0,0.992126,0.357279
122762,0,0,0.933333,1,0.992126,0.456078
122763,0,0,0.933333,0,0.992126,0.357279
122764,0,0,0.933333,0,0.992126,0.357279
122765,0,0,0.933333,0,0.992126,0.357279
122766,0,0,0.933333,1,0.992126,0.456078
122767,0,0,0.933333,1,0.992126,0.456078
122768,0,0,0.933333,0,0.992126,0.357279
122769,0,0,0.933333,1,0.992126,0.456078
122770,0,0,0.933333,1,0.992126,0.456078
122771,0,0,0.933333,0,0.992126,0.357279
122772,0,0,0.933333,0,0.992126,0.357279
122773,0,0,0.933333,1,0.992126,0.456078
122774,0,0,0.933333,0,0.992126,0.357279
122775,0,0,0.933333,0,0.992126,0.357279
122776,0,0,0.933333,1,0.992126,0.456078
122777,0,0,0.933333,1,0.992126,0.456078
122778,0,0,0.933333,1,0.992126,0.456078
122779,0,0,0.933333,1,0.992126,0.456078
122780,0,0,0.933333,0,0.992126,0.357279
122781,0,0,0.933333,0,0.992126,0.357279
122782,0,0,0.866667,1,0.992126,0.444732
122783,0,0,0.866667,0,0.992126,0.345932
122784,0,0,0.866667,0,0.992126,0.345932
122785,0,0,0.866667,0,0.992126,0.345932
122786,0,0,0.866667,0,0.992126,0.345932
122787,0,0,0.866667,1,0.992126,0.444732
122788,0,0,0.866667,0,0.992126,0.345932
122789,0,0,0.866667,0,0.992126,0.345932
122790,0,0,0.866667,0,0.992126,0.345932
122791,0,0,0.866667,1,0.992126,0.444732
122792,0,0,0.866667,0,0.992126,0.345932
122793,0,0,0.866667,1,0.992126,0.444732
122794,0,0,0.866667,0,0.992126,0.345932
122795,0,0,0.866667,1,0.992126,0.444732
122796,0,0,0.866667,1,0.992126,0.444732
122797,0,0,0.866667,1,0.992126,0.444732
122798,0,0,0.866667,1,0.992126,0.444732
122799,0,0,0.866667,0,0.992126,0.345932
122800,0,0,0.866667,0,0.992126,0.345932
122801,0,0,0.866667,0,0.992126,0.345932
122802,0,0,0.866667,1,0.992126,0.444732
122803,0,0,0.866667,0,0.992126,0.345932
122804,0,0,0.866667,0,0.992126,0.345932
122805,0,0,0.866667,0,0.992126,0.345932
122806,0,0,0.8,1,0.992126,0.433385
122807,0,0,0.8,0,0.992126,0.334585
122808,0,0,0.8,1,0.992126,0.433385
122809,0,0,0.8,1,0.992126,0.433385
122810,0,0,0.8,1,0.992126,0.433385
122811,0,0,0.8,1,0.992126,0.433385
122812,0,0,0.8,1,0.992126,0.433385
122813,0,0,0.8,1,0.992126,0.433385
122814,0,0,0.8,0,0.992126,0.334585
122815,0,0,0.8,0,0.992126,0.334585
122816,0,0,0.8,1,0.992126,0.433385
122817,0,0,0.8,1,0.992126,0.433385
122818,0,0,0.8,0,0.992126,0.334585
122819,0,0,0.8,0,0.992126,0.334585
122820,0,0,0.8,0,0.992126,0.334585
122821,0,0,0.8,1,0.992126,0.433385
122822,0,0,0.8,0,0.992126,0.334585
122823,0,0,0.8,0,0.992126,0.334585
122824,0,0,0.8,1,0.992126,0.433385
122825,0,0,0.8,1,0.992126,0.433385
122826,0,0,0.8,0,0.992126,0.334585
122827,0,0,0.8,1,0.992126,0.433385
122828,0,0,0.8,1,0.992126,0.433385
122829,0,0,0.8,1,0.992126,0.433385
122830,0,0,0.733333,0,0.992126,0.323239
122831,0,0,0.733333,1,0.992126,0.422038
122832,0,0,0.733333,1,0.992126,0.422038
122833,0,0,0.733333,1,0.992126,0.422038
122834,0,0,0.733333,0,0.992126,0.323239
122835,0,0,0.733333,1,0.992126,0.422038
122836,0,0,0.733333,0,0.992126,0.323239
122837,0,0,0.733333,1,0.992126,0.422038
122838,0,0,0.733333,0,0.992126,0.323239
122839,0,0,0.733333,0,0.992126,0.323239
122840,0,0,0.733333,0,0.992126,0.323239
122841,0,0,0.733333,1,0.992126,0.422038
122842,0,0,0.733333,0,0.992126,0.323239
122843,0,0,0.733333,0,0.992126,0.323239
